Author,Year,Type_of_Meta-Analysis,Age_Group,Health_Status,Skill_Level,N,Task,Outcome_Measure,Hedges_g,Standard_Error,Risk_of_Bias
Hebert & Williams,2017,Performance,Adult,Healthy,Novice,27,Jumping,Jump distance,0.154,0.191,Moderate
Hill et al.,2017,Performance,Adult,Healthy,Experienced,30,Treadmill running,Oxygen consumption,0.15,0.181,Low
Hosseiny et al.,2014,Performance,Adult,Healthy,Expert,10,shooting,Accuracy score,1.889,0.521,Low
Huang et al.,2014,Performance,Adult,Healthy,Novice,12,Balance,Angular deviation,0.767,0.32,Low
Ille et al.,2013,Performance,Adult,Healthy,Novice,8,Sprinting,Movement time,1.04,0.423,Low
Ille et al.,2013,Performance,Adult,Healthy,Expert,8,Sprinting,Movement time,0.945,0.409,Low
Jazaeri et al.,2018,Performance,Older adult,Healthy,Novice,17,Balance,Center of pressure velocity,1.004,0.159,Low
Jazaeri et al.,2018,Performance,Older adult,Idiopathic PD,Novice,34,Balance,Center of pressure velocity,0.347,0.173,Low
Kal et al.,2013,Performance,Adult,Healthy,Novice,30,Cyclic single-leg extension-flexion,Movement time per,0.199,0.182,Low
Kearney,2015,Performance,Adult,Healthy,Novice,18,Golf putting,Accuracy score,-0.101,0.231,Low
Klostermann et al.,2014,Performance,Adult,Healthy,Expert,24,Golf putting,Radial error,1.209,0.266,Low
Kuhn et al.,2018 Exp 1 & 2,Performance,Adult,Healthy,Novice,26,Finger flexion,Mean force and reaction time,0.211,0.192,Low
Kuhn et al.,2017,Performance,Adult,Healthy,Novice,14,Finger abduction,Time to task failure,0.607,0.284,Low
Landers et al.,2005,Performance,Older adult,Idiopathic PD,Novice,22,Balance,Equilibrium score,0.66,0.138,Low
Lisman & Sadagopan,2013,Performance,Adult,Healthy,Novice,20,Speech,Production time,1.205,0.29,Low
Lohse et al.,2014,Performance,Adult,Healthy,Novice,15,Dart throwing,Absolute error,0.791,0.29,Low
Lohse & Sherwood,2011 Exp 1,Performance,Adult,Healthy,Novice,20,Wall-sit,Time to task failure,0.223,0.222,Low
Lohse & Sherwood,2012 Exp 1 & 2,Performance,Adult,Healthy,Novice,24,Force production (plantar flexion),Absolute error and time to task failure,0.273,0.142,Low
Lohse et al.,2010,Performance,Adult,Healthy,Novice,12,Dart throwing,Absolute error,1.274,0.381,Low
Lohse et al.,2011,Performance,Adult,Healthy,Novice,12,Force production (plantar flexion),Absolute error,2.587,0.597,Low
Makaruk et al.,2015,Performance,Older adult,Healthy,Experienced,23,Ergometer cycling,Maximum power,0.303,0.21,Low
Makaruk et al.,2013,Performance,Adult,Healthy,Experienced,30,Shot put,Throw distance,0.274,0.13,Low
"Marchant, Carnegie, et al.",2018,Performance,Adult,Healthy,Novice,26,Golf putting,Radial error,0.362,0.142,Low
"Marchant, Clough, et al.",2009,Performance,Adult,Healthy,Novice,72,Dart throwing,Absolute error,0.336,0.085,Low
Marchant & Greig,2017,Performance,Adult,Healthy,Experienced,20,Force production (knee extension),Peak torque,0.012,0.219,Low
Marchant et al.,2011,Performance,Adult,Healthy,Experienced,40,Bench press and back squat,Number of repetitions to failure,0.752,0.155,Moderate
"Marchant, Greig, et al.",2009,Performance,Adult,Healthy,Experienced,25,Elbow flexion,Peak torque,2.962,0.463,Low
"Marchant, Griffiths, et al.",2018,Performance,Children,Healthy,Novice,98,Jumping,Jump distance,0.122,0.101,Moderate
Maurer & Munzert,2013 Exp 1,Performance,Children,Healthy,Expert,23,Basketball free throw,Success rate,-0.523,0.219,Low
Maurer & Munzert,2013 Exp 2,Performance,Adult,Healthy,Novice,14,Golf putting,Success rate,-0.554,0.28,Low
McNevin et al.,2013,Performance,Adult,Healthy,Novice,12,Supra-postural manual tracking,Time on target,0.118,0.199,Low
McNevin et al.,2013,Performance,Older adult,Cardiac condition,Novice,12,Supra-postural manual tracking,Time on target,0.532,0.212,Low
Mornell & Wulf,2019 Exp 1 & 2,Performance,Adult,Healthy,Novice,41,Music,Musicality score,0.532,0.164,Low
Nadzalan et al.,2015,Performance,Adult,Healthy,Experienced,30,Bench press,Number of repetitions to failure,2.488,0.319,Low
Neumann & Piercy,2013,Performance,Adult,Healthy,Novice,21,Treadmill running,Oxygen consumption,-0.402,0.223,Low
Oki et al.,2018,Performance,Adult,Healthy,Expert,12,throwing,Throw distance,1.699,0.445,Low
Palmer et al.,2017,Performance,Children,Healthy,Novice,44,Ball control,Score,0.442,0.157,Low
Pelleck & Passmore,2017,Performance,Adult,Healthy,Novice,11,Golf putting,Radial error,-0.113,0.206,Low
Pelleck & Passmore,2017,Performance,Adult,Healthy,Expert,13,Golf putting,Radial error,0.011,0.195,Low
"Perkins-Ceccato, et al.",2003,Performance,Not reported,Healthy,Experienced,10,Golf pitch shot,Radial error,-0.183,0.306,Low
"Perkins-Ceccato, et al.",2003,Performance,Not reported,Healthy,Expert,10,Golf pitch shot,Radial error,0.056,0.303,Low
Polskaia et al.,2015,Performance,Adult,Healthy,Novice,20,Postural control,Sway area,0.052,0.219,Low
Porter & Anton,2011,Performance,Older adult,Cancer,Novice,5,Manual tracking,Contact time,0.749,0.468,Low
Porter et al.,2013,Performance,Adult,Healthy,Expert,38,Jumping,Jump distance,0.46,0.169,Moderate
"Porter, Nolan, et al.",2010,Performance,Adult,Healthy,Novice,20,Sprinting,Movement time,2.639,0.471,Low
Porter & Sims,2013,Performance,Adult,Healthy,Expert,9,Sprinting,Movement time,0,0.317,Low
Porter et al.,2015,Performance,Adult,Healthy,Experienced,84,Sprinting,Movement time,0.223,0.11,Low
